specification,term,ols_estimate,nw_se,t_stat,p_value,lambda,structural_param,in_long_run,in_short_run,is_dummy
Spec1_LogNetWorth,(Intercept),-0.6096681143796941,0.1844201708033274,-3.3058646010574795,0.0015774722692350612,0.1878304462588574,-3.2458428679846913,FALSE,FALSE,FALSE
Spec1_LogNetWorth,ln_networth_y,0.273763211644406,0.0810104294621006,3.379357614348676,0.0012609074953604854,0.1878304462588574,1.457501790029934,TRUE,FALSE,FALSE
Spec1_LogNetWorth,real_rate,-0.6162921534638144,0.25374322758223156,-2.4288023737070588,0.018061771682871722,0.1878304462588574,-3.2811089242394447,TRUE,FALSE,FALSE
Spec1_LogNetWorth,ln_yp_over_y,0.03530377423099568,0.011323677181057153,3.117695220952934,0.0027629221573033367,0.1878304462588574,0.18795554679320728,TRUE,FALSE,FALSE
Spec1_LogNetWorth,ln_y_over_c,0.1878304462588574,0.09884713849631818,1.9002112667718107,0.06205786342102043,0.1878304462588574,1,TRUE,FALSE,FALSE
Spec1_LogNetWorth,d2012_fornero,0.029645455338442546,0.010215401938044143,2.902035134617377,0.005126957357377162,0.1878304462588574,0.15783093704407666,FALSE,FALSE,TRUE
Spec2_LogNetWorth_CCI,(Intercept),-0.5849573068395426,0.18286632780169035,-3.198824594289991,0.0022207881643437847,0.22003834503900963,-2.658433495924713,FALSE,FALSE,FALSE
Spec2_LogNetWorth_CCI,ln_networth_y,0.2598100585217406,0.08146776406953393,3.189114878616147,0.002285268065901855,0.22003834503900963,1.1807490120673287,TRUE,FALSE,FALSE
Spec2_LogNetWorth_CCI,real_rate,-0.5905530939078896,0.26152731456333045,-2.258093365482417,0.027652666334463234,0.22003834503900963,-2.6838644591841163,TRUE,FALSE,FALSE
Spec2_LogNetWorth_CCI,ln_yp_over_y,0.028299691001688682,0.010139466670421454,2.791043347895574,0.007067357540850909,0.22003834503900963,0.12861254249422552,TRUE,FALSE,FALSE
Spec2_LogNetWorth_CCI,ln_y_over_c,0.22003834503900963,0.11549196220022624,1.9052264837057082,0.061627760203167355,0.22003834503900963,1,TRUE,FALSE,FALSE
Spec2_LogNetWorth_CCI,d2_logcci_lag2,-0.2616283976301702,0.3031207477209517,-0.8631161000929612,0.39156872963114975,0.22003834503900963,-1.1890127494995806,FALSE,TRUE,FALSE
Spec2_LogNetWorth_CCI,d2012_fornero,0.0295638636891306,0.00961525996918837,3.074681681396713,0.0031899853076972373,0.22003834503900963,0.13435778061268983,FALSE,FALSE,TRUE
Spec3_LevelNetWorth,(Intercept),-0.3072786823531521,0.09582805982813192,-3.2065627009902724,0.002125425243966993,0.19553328683591623,-1.5714903959600912,FALSE,FALSE,FALSE
Spec3_LevelNetWorth,networth_y,0.03317642390267785,0.009885207469413283,3.356168700083639,0.001353655293333134,0.19553328683591623,0.16967148887809672,TRUE,FALSE,FALSE
Spec3_LevelNetWorth,real_rate,-0.6273319724985158,0.25457529155501113,-2.464229614219869,0.01651700630692094,0.19553328683591623,-3.2083129304983653,TRUE,FALSE,FALSE
Spec3_LevelNetWorth,ln_yp_over_y,0.034470269118252246,0.01106761615744208,3.1145161367991396,0.0027887475732651743,0.19553328683591623,0.17628849632737126,TRUE,FALSE,FALSE
Spec3_LevelNetWorth,ln_y_over_c,0.19553328683591623,0.10080124552610759,1.9397903846860005,0.05695765891466612,0.19553328683591623,1,TRUE,FALSE,FALSE
Spec3_LevelNetWorth,d2012_fornero,0.030332987635575563,0.01041610573398773,2.912123629524909,0.00498377230692586,0.19553328683591623,0.15512953383241496,FALSE,FALSE,TRUE
Spec4_NFA_Housing,(Intercept),-3.9599936523658537,3.424054226697646,-1.1565218860990698,0.25229195094139545,0.2630437393264765,-15.054506381734905,FALSE,FALSE,FALSE
Spec4_NFA_Housing,nfa_y,0.03883480985392406,0.013672311470487005,2.8403982704572464,0.006237199392822961,0.2630437393264765,0.14763632068704843,TRUE,FALSE,FALSE
Spec4_NFA_Housing,ha_y,0.17176105633513208,0.13596334972919916,1.263289384067338,0.21162811765182848,0.2630437393264765,0.6529752685805268,TRUE,FALSE,FALSE
Spec4_NFA_Housing,ln_hp_over_y,-0.7609253040938626,0.7048404304095811,-1.0795710224109742,0.28488029853292546,0.2630437393264765,-2.892771012312294,TRUE,FALSE,FALSE
Spec4_NFA_Housing,real_rate,-0.5786915869696453,0.2623049459644447,-2.20617870868545,0.03141700940748953,0.2630437393264765,-2.1999823620641386,TRUE,FALSE,FALSE
Spec4_NFA_Housing,ln_yp_over_y,0.020977564849470037,0.010127260257309291,2.07139584808533,0.04285901641356571,0.2630437393264765,0.07974934093920308,TRUE,FALSE,FALSE
Spec4_NFA_Housing,ln_y_over_c,0.2630437393264765,0.146323019667925,1.7976921192813349,0.07752302620397973,0.2630437393264765,1,TRUE,FALSE,FALSE
Spec4_NFA_Housing,d2_logcci_lag2,-0.2969696122075881,0.35862260325833006,-0.8280839230695929,0.4110768080378664,0.2630437393264765,-1.128974264766684,FALSE,TRUE,FALSE
Spec4_NFA_Housing,d2012_fornero,0.02775390216571396,0.014095988557238733,1.9689220130262848,0.05383074163119675,0.2630437393264765,0.10551059773092424,FALSE,FALSE,TRUE
Spec5_FullDisagg,(Intercept),-4.620991307568087,2.5342383237527635,-1.8234241287635518,0.08071896530886423,0.5192702692148322,-8.899009979052533,FALSE,FALSE,FALSE
Spec5_FullDisagg,nla_y,0.21774429868206535,0.2203254831872052,0.9882846756180869,0.33287286234248636,0.5192702692148322,0.4193274901166743,TRUE,FALSE,FALSE
Spec5_FullDisagg,bonds_y,-0.050948086906360913,0.14475349599162646,-0.351964465917342,0.7279366051398881,0.5192702692148322,-0.09811477746145081,TRUE,FALSE,FALSE
Spec5_FullDisagg,ilfa_y,-0.0027085674552393096,0.08640095301501728,-0.03134881457578987,0.9752506100543648,0.5192702692148322,-0.005216103474082631,TRUE,FALSE,FALSE
Spec5_FullDisagg,ha_y,0.2764984530951444,0.10593263607737646,2.610134735938993,0.015348466624415398,0.5192702692148322,0.5324750317656867,TRUE,FALSE,FALSE
Spec5_FullDisagg,ln_hp_over_y,-0.7649337931709235,0.5351350208387495,-1.4294220400152402,0.16577156461986436,0.5192702692148322,-1.4730937596861635,TRUE,FALSE,FALSE
Spec5_FullDisagg,real_rate,-0.9041849637548003,0.3983082422199966,-2.270063402944582,0.03246821358814542,0.5192702692148322,-1.7412607987782205,TRUE,FALSE,FALSE
Spec5_FullDisagg,ln_yp_over_y,0.058175704459651756,0.11861315529486222,0.49046587045957846,0.6282585646995986,0.5192702692148322,0.11203357463083129,TRUE,FALSE,FALSE
Spec5_FullDisagg,ln_y_over_c,0.5192702692148322,0.12361312233860347,4.200769783910458,3.1688555173356567e-4,0.5192702692148322,1,TRUE,FALSE,FALSE
Spec5_FullDisagg,d2_logcci_lag2,-0.4354536342422401,0.4303768540640543,-1.011796127348034,0.3217281059452623,0.5192702692148322,-0.8385876489726094,FALSE,TRUE,FALSE
Spec5_FullDisagg,d2_public_cons,0.020302383979935706,0.03728483792238629,0.5445211810280097,0.5911069129301545,0.5192702692148322,0.0390979133287067,FALSE,TRUE,FALSE
Spec5_FullDisagg,dd4_income,0.3990659269970948,0.2142523988074412,1.8625972414701144,0.07480498774568417,0.5192702692148322,0.7685129510697896,FALSE,TRUE,FALSE
Spec5_FullDisagg,d2_log_unemp,0.016046962687008802,0.06503565011807277,0.24674102062292613,0.8072069818118323,0.5192702692148322,0.03090291056191754,FALSE,TRUE,FALSE
Spec5_FullDisagg,abs_income_resid,-0.8423344930846951,0.39351061430213813,-2.140563589570545,0.04267558727449652,0.5192702692148322,-1.6221504349909255,FALSE,TRUE,FALSE
Spec5_FullDisagg,d2012_fornero,0.06654693141131014,0.028876430480929572,2.3045414652361114,0.030153561682902136,0.5192702692148322,0.1281547112487936,FALSE,FALSE,TRUE
Spec5_FullDisagg,d2013Q1,-0.04650569653585778,0.016031921632504716,-2.9008186044003295,0.00784506757430488,0.5192702692148322,-0.08955971349212268,FALSE,FALSE,TRUE
Spec6_Preferred,(Intercept),-4.620991307568087,2.5342383237527635,-1.8234241287635518,0.08071896530886423,0.5192702692148322,-8.899009979052533,FALSE,FALSE,FALSE
Spec6_Preferred,nla_y,0.21774429868206535,0.2203254831872052,0.9882846756180869,0.33287286234248636,0.5192702692148322,0.4193274901166743,TRUE,FALSE,FALSE
Spec6_Preferred,bonds_y,-0.050948086906360913,0.14475349599162646,-0.351964465917342,0.7279366051398881,0.5192702692148322,-0.09811477746145081,TRUE,FALSE,FALSE
Spec6_Preferred,ilfa_y,-0.0027085674552393096,0.08640095301501728,-0.03134881457578987,0.9752506100543648,0.5192702692148322,-0.005216103474082631,TRUE,FALSE,FALSE
Spec6_Preferred,ha_y,0.2764984530951444,0.10593263607737646,2.610134735938993,0.015348466624415398,0.5192702692148322,0.5324750317656867,TRUE,FALSE,FALSE
Spec6_Preferred,ln_hp_over_y,-0.7649337931709235,0.5351350208387495,-1.4294220400152402,0.16577156461986436,0.5192702692148322,-1.4730937596861635,TRUE,FALSE,FALSE
Spec6_Preferred,real_rate,-0.9041849637548003,0.3983082422199966,-2.270063402944582,0.03246821358814542,0.5192702692148322,-1.7412607987782205,TRUE,FALSE,FALSE
Spec6_Preferred,ln_yp_over_y,0.058175704459651756,0.11861315529486222,0.49046587045957846,0.6282585646995986,0.5192702692148322,0.11203357463083129,TRUE,FALSE,FALSE
Spec6_Preferred,ln_y_over_c,0.5192702692148322,0.12361312233860347,4.200769783910458,3.1688555173356567e-4,0.5192702692148322,1,TRUE,FALSE,FALSE
Spec6_Preferred,d2_logcci_lag2,-0.4354536342422401,0.4303768540640543,-1.011796127348034,0.3217281059452623,0.5192702692148322,-0.8385876489726094,FALSE,TRUE,FALSE
Spec6_Preferred,d2_public_cons,0.020302383979935706,0.03728483792238629,0.5445211810280097,0.5911069129301545,0.5192702692148322,0.0390979133287067,FALSE,TRUE,FALSE
Spec6_Preferred,dd4_income,0.3990659269970948,0.2142523988074412,1.8625972414701144,0.07480498774568417,0.5192702692148322,0.7685129510697896,FALSE,TRUE,FALSE
Spec6_Preferred,d2_log_unemp,0.016046962687008802,0.06503565011807277,0.24674102062292613,0.8072069818118323,0.5192702692148322,0.03090291056191754,FALSE,TRUE,FALSE
Spec6_Preferred,abs_income_resid,-0.8423344930846951,0.39351061430213813,-2.140563589570545,0.04267558727449652,0.5192702692148322,-1.6221504349909255,FALSE,TRUE,FALSE
Spec6_Preferred,d2012_fornero,0.06654693141131014,0.028876430480929572,2.3045414652361114,0.030153561682902136,0.5192702692148322,0.1281547112487936,FALSE,FALSE,TRUE
Spec6_Preferred,d2013Q1,-0.04650569653585778,0.016031921632504716,-2.9008186044003295,0.00784506757430488,0.5192702692148322,-0.08955971349212268,FALSE,FALSE,TRUE
